AÑO,MES,implementado,consulta externa,cred,discapacidad,inmunizacion,programacion,refcon,ventanilla unica,wawared,DIRESA
2018,2,0,0,0,7,29,0,2,0,3,LA LIBERTAD
2019,11,5,5,7,16,11,40,5,9,8,TUMBES
2021,8,78,62,78,33,105,90,131,78,117,LIMA SUR
2018,10,0,0,1,22,128,0,0,0,18,PASCO
2021,8,47,46,128,27,138,52,94,52,82,ICA
2019,1,0,1,4,23,41,8,0,5,4,AYACUCHO
2021,8,48,52,50,39,64,59,218,56,303,JUNIN
2018,12,0,4,3,134,387,12,0,11,14,PIURA
2020,10,12,12,28,49,30,16,151,13,21,LIMA
2018,11,0,0,0,56,118,0,230,0,26,PUNO
2018,4,0,0,0,8,31,0,2,0,4,LA LIBERTAD
2018,3,0,0,0,8,63,0,0,0,91,LIMA NORTE
2022,1,16,13,21,47,23,21,64,19,16,UCAYALI
2020,11,5,5,5,8,12,6,69,5,5,MADRE DE DIOS
2020,6,48,45,54,40,74,52,71,48,50,AYACUCHO
2021,3,48,52,48,35,64,59,192,56,297,JUNIN
2021,7,49,48,50,29,54,56,65,50,64,LIMA CENTRO
2021,3,47,46,113,23,135,52,92,52,78,ICA
2019,10,23,14,37,36,60,35,37,30,32,AYACUCHO
2020,3,99,79,85,33,94,104,103,104,97,LIMA NORTE
2020,4,53,43,73,70,77,53,256,53,54,LA LIBERTAD
2020,11,37,34,59,190,123,38,394,37,39,ANCASH
2018,11,0,0,0,4,4,0,68,0,1,MADRE DE DIOS
2020,1,7,7,7,17,12,40,7,9,8,TUMBES
2018,2,5,3,1,13,52,5,106,6,107,LIMA SUR
2018,3,0,0,0,1,7,0,0,0,38,CALLAO
2021,6,12,12,28,64,31,19,157,14,21,LIMA
2020,1,25,24,31,64,105,28,160,25,30,LAMBAYEQUE
2018,3,0,0,0,50,16,0,1,0,0,HUANCAVELICA
2019,8,70,16,6,5,52,73,73,71,72,LIMA ESTE
2018,7,0,0,1,20,122,0,0,0,7,PASCO
2021,5,78,62,78,33,104,90,130,78,117,LIMA SUR
2018,3,0,0,0,29,63,0,42,0,0,LAMBAYEQUE
2019,6,0,2,5,8,8,7,0,7,6,TUMBES
2021,10,72,48,46,9,73,81,80,80,74,LIMA ESTE
2020,1,37,27,38,66,44,38,97,38,27,HUANCAVELICA
2021,10,41,42,50,112,48,43,271,43,103,HUANUCO
2018,10,0,0,0,64,120,0,129,0,28,APURIMAC
2019,1,0,0,0,35,15,0,0,0,12,AMAZONAS
2021,7,37,34,65,203,124,39,394,37,42,ANCASH
2019,1,5,10,6,15,39,46,5,36,63,LIMA CENTRO
2019,9,20,15,20,63,88,20,129,20,25,LAMBAYEQUE
2020,9,24,27,28,50,28,29,36,27,30,AMAZONAS
2021,11,39,27,38,84,53,43,179,43,27,HUANCAVELICA
2020,6,24,23,26,166,31,24,56,24,26,CUSCO
2018,7,2,2,2,23,9,2,3,2,5,LORETO
2021,2,41,41,72,102,269,54,359,41,127,APURIMAC
2018,2,0,0,1,30,29,0,153,0,17,HUANUCO
2020,9,99,79,87,33,94,105,104,104,97,LIMA NORTE
2018,1,0,0,0,4,4,0,62,0,0,MADRE DE DIOS
2020,9,24,23,26,166,33,24,56,24,26,CUSCO
2018,8,2,2,2,23,9,2,3,2,5,LORETO
2020,6,24,27,28,50,28,29,36,27,29,AMAZONAS
2019,7,17,10,22,27,52,27,26,22,25,AYACUCHO
2019,2,0,0,2,57,155,0,241,0,42,PUNO
2019,6,19,4,19,88,217,19,246,19,66,APURIMAC
2018,2,0,0,0,58,19,0,0,0,6,CUSCO
2020,6,41,41,46,95,46,42,246,42,101,HUANUCO
2020,3,14,17,28,34,29,24,15,19,20,LORETO
2019,6,37,4,37,28,49,37,178,37,38,LA LIBERTAD
2019,1,26,6,5,10,85,82,40,65,95,LIMA NORTE
2020,2,10,7,12,6,13,11,26,10,12,TACNA
2021,9,5,5,5,13,12,6,71,5,5,MADRE DE DIOS
2021,6,29,28,36,70,135,33,165,29,32,LAMBAYEQUE
2019,5,9,3,5,24,172,12,244,9,79,AREQUIPA
2019,4,0,1,10,59,28,5,1,5,0,HUANCAVELICA
2019,3,3,1,0,6,25,6,16,5,19,MOQUEGUA
2021,5,24,23,26,187,34,25,66,24,26,CUSCO
2021,10,25,27,28,63,30,29,41,27,31,AMAZONAS
2019,11,13,13,28,21,48,49,15,43,64,LIMA CENTRO
2020,1,27,27,53,98,233,29,349,27,107,APURIMAC
2019,1,10,10,12,42,33,11,207,11,33,HUANUCO
2019,4,2,2,3,26,18,3,3,3,8,LORETO
2018,10,0,0,0,52,71,0,94,0,0,LAMBAYEQUE
2021,7,15,13,17,42,22,21,34,18,16,UCAYALI
2021,10,13,14,38,10,55,14,28,15,22,MOQUEGUA
2021,3,72,47,46,9,73,78,78,77,72,LIMA ESTE
2020,8,37,27,38,67,46,38,118,38,27,HUANCAVELICA
2021,12,69,63,140,40,196,80,257,72,130,AREQUIPA
2021,10,37,34,65,218,124,39,396,37,42,ANCASH
2019,1,0,0,0,57,22,0,1,0,0,HUANCAVELICA
2021,3,29,27,36,69,135,33,164,29,32,LAMBAYEQUE
2018,10,54,2,2,1,51,57,72,57,72,LIMA ESTE
2020,9,48,45,55,41,77,52,72,48,50,AYACUCHO
2020,3,47,48,50,26,54,50,50,49,64,LIMA CENTRO
2019,7,40,6,91,17,119,42,51,41,63,ICA
2019,7,32,29,33,19,37,32,52,32,54,JUNIN
2018,5,0,0,0,11,16,0,110,0,10,LIMA
2020,3,53,53,121,191,425,61,80,59,63,PIURA
2018,7,0,0,0,55,17,0,1,0,0,HUANCAVELICA
2020,11,41,41,47,101,48,42,250,42,102,HUANUCO
2019,12,70,47,44,7,57,78,76,76,72,LIMA ESTE
2020,5,29,27,34,64,113,33,162,29,32,LAMBAYEQUE
2019,11,25,18,46,97,231,28,336,25,97,APURIMAC
2018,9,0,1,0,20,40,2,0,1,0,AYACUCHO
2018,12,65,8,3,1,51,71,72,69,72,LIMA ESTE
2019,7,21,2,38,59,41,38,25,38,1,HUANCAVELICA
2021,5,29,27,36,70,135,33,165,29,32,LAMBAYEQUE
2019,12,33,33,34,29,46,34,97,34,226,JUNIN
2019,12,43,42,98,20,125,46,54,45,72,ICA
2021,5,48,46,56,77,80,57,99,49,50,AYACUCHO
2021,4,68,63,128,35,191,80,256,72,122,AREQUIPA
2021,2,13,14,34,9,54,14,25,15,22,MOQUEGUA
2018,2,0,0,0,50,16,0,1,0,0,HUANCAVELICA
2019,9,70,16,8,5,53,73,73,71,72,LIMA ESTE
2019,9,7,2,10,33,20,7,137,7,14,LIMA
2019,5,8,4,6,59,11,14,33,14,2,SAN MARTIN
2020,12,10,2,10,10,16,10,46,10,44,CALLAO
2018,8,0,0,0,8,5,0,0,0,0,TUMBES
2019,9,20,19,21,27,252,21,125,20,56,PASCO
2020,11,77,62,75,32,103,90,130,78,117,LIMA SUR
2021,9,13,14,37,10,55,14,28,15,22,MOQUEGUA
2021,4,15,13,16,40,22,19,29,17,16,UCAYALI
2018,9,4,8,6,14,35,44,4,25,63,LIMA CENTRO
2019,5,30,29,30,62,40,30,222,30,56,HUANUCO
2020,5,41,41,67,100,247,54,352,41,115,APURIMAC
2021,1,24,23,26,179,34,24,62,24,26,CUSCO
2020,3,14,13,12,38,22,17,24,16,13,UCAYALI
2020,8,67,63,111,29,189,79,255,71,111,AREQUIPA
2018,3,0,2,2,77,27,1,0,3,14,CAJAMARCA
2020,1,8,7,12,6,13,11,26,8,12,TACNA
2018,6,0,0,0,69,19,0,0,0,7,CUSCO
2020,2,37,38,43,94,46,40,240,38,98,HUANUCO
2018,9,0,0,0,32,13,0,0,0,12,AMAZONAS
2019,2,0,0,0,72,136,0,141,0,49,APURIMAC
2020,7,14,17,28,35,29,26,15,20,20,LORETO
2020,6,70,47,46,7,67,78,77,76,72,LIMA ESTE
2021,8,49,46,57,89,81,57,106,50,50,AYACUCHO
2019,1,3,2,0,14,28,6,17,4,34,JUNIN
2019,1,1,0,6,17,101,17,1,16,52,ICA
2019,4,1,5,9,24,46,8,9,5,10,AYACUCHO
2021,9,41,41,78,114,275,54,368,41,151,APURIMAC
2018,9,0,1,3,38,32,0,206,1,21,HUANUCO
2020,2,24,24,25,50,26,24,36,24,27,AMAZONAS
2018,12,2,2,2,25,12,2,3,2,5,LORETO
2018,5,0,0,0,53,17,0,1,0,0,HUANCAVELICA
2020,7,29,27,34,64,125,33,162,29,32,LAMBAYEQUE
2021,3,37,34,65,199,124,39,394,37,41,ANCASH
2021,11,15,17,32,47,32,26,20,20,23,LORETO
2019,10,22,21,20,154,27,22,37,23,18,CUSCO
2021,12,23,24,31,198,55,24,356,25,33,CAJAMARCA
2019,5,0,1,15,39,22,10,0,6,17,AMAZONAS
2021,12,102,81,87,42,94,108,107,107,98,LIMA NORTE
2019,5,5,4,7,6,25,9,16,8,20,MOQUEGUA
2019,8,9,8,9,32,21,16,12,11,4,UCAYALI
2021,11,53,43,73,110,78,53,278,53,56,LA LIBERTAD
2019,3,5,1,1,20,163,7,234,5,62,AREQUIPA
2019,4,0,0,0,4,6,0,69,0,2,MADRE DE DIOS
2020,9,10,10,12,6,15,14,26,10,12,TACNA
2019,3,3,5,9,141,413,16,3,17,19,PIURA
2021,5,12,12,28,62,31,17,157,14,21,LIMA
2018,4,0,2,2,84,28,1,0,3,14,CAJAMARCA
2019,1,5,4,1,4,11,6,15,5,4,TACNA
2020,10,29,28,30,76,43,32,79,32,27,SAN MARTIN
2019,6,17,2,38,59,39,38,21,37,1,HUANCAVELICA
2019,9,21,12,30,33,56,34,35,28,31,AYACUCHO
2021,4,29,27,36,70,135,33,165,29,32,LAMBAYEQUE
2021,4,41,41,73,108,270,54,366,41,132,APURIMAC
2019,3,49,7,6,15,85,87,58,79,95,LIMA NORTE
2019,4,8,3,10,22,46,13,129,9,28,LA LIBERTAD
2018,1,0,0,0,20,5,0,0,0,5,LORETO
2021,11,5,5,5,13,12,6,71,5,5,MADRE DE DIOS
2018,4,0,0,2,31,31,0,184,0,18,HUANUCO
2019,12,10,1,10,5,12,10,44,10,44,CALLAO
2020,9,12,12,28,48,30,16,147,13,21,LIMA
2019,2,2,1,2,50,9,7,26,7,1,SAN MARTIN
2019,11,26,5,91,29,181,32,249,26,94,AREQUIPA
2019,6,81,11,13,19,86,92,96,88,95,LIMA NORTE
2019,1,0,2,2,21,44,3,6,2,11,LA LIBERTAD
2019,2,5,4,3,4,11,6,16,5,5,TACNA
2020,12,47,46,111,21,134,52,87,52,78,ICA
2020,12,47,52,48,35,64,59,183,56,297,JUNIN
2018,5,0,0,0,16,35,1,0,0,0,AYACUCHO
2019,7,8,6,4,126,43,16,8,18,25,CAJAMARCA
2018,4,5,3,1,13,53,5,106,6,111,LIMA SUR
2021,6,29,27,106,36,252,32,184,29,119,PASCO
2020,7,7,8,10,17,13,40,7,10,8,TUMBES
2019,11,11,10,11,35,22,17,15,12,4,UCAYALI
2019,6,9,5,11,7,28,14,18,12,20,MOQUEGUA
2020,3,37,27,38,67,44,38,115,38,27,HUANCAVELICA
2018,1,0,0,0,26,62,0,26,0,0,LAMBAYEQUE
2021,8,72,48,46,9,73,81,80,80,73,LIMA ESTE
2021,5,39,35,82,125,295,45,408,39,121,PUNO
2018,12,0,0,0,19,14,0,0,0,1,UCAYALI
2018,1,0,0,0,3,16,0,4,0,2,MOQUEGUA
2018,7,0,0,0,11,112,0,227,0,18,AREQUIPA
2021,4,29,28,32,84,45,33,80,33,27,SAN MARTIN
2020,4,47,48,50,26,54,54,50,49,64,LIMA CENTRO
2018,2,0,0,0,28,96,0,191,0,5,PUNO
2022,1,8,8,13,22,13,40,13,10,9,TUMBES
2021,8,30,28,32,89,45,33,81,33,27,SAN MARTIN
2021,1,29,28,31,82,45,33,79,33,27,SAN MARTIN
2019,2,1,0,14,17,104,18,1,17,54,ICA
2019,2,4,2,0,14,29,6,18,4,37,JUNIN
2021,11,49,46,59,130,81,57,115,50,50,AYACUCHO
2020,9,37,34,79,115,293,44,401,38,120,PUNO
2022,1,32,28,32,94,45,33,89,33,27,SAN MARTIN
2020,2,18,19,22,150,46,18,89,20,29,CAJAMARCA
2018,10,0,0,0,81,20,0,0,0,8,CUSCO
2020,11,14,17,31,42,32,26,15,20,22,LORETO
2018,5,0,0,0,27,11,0,0,0,11,AMAZONAS
2019,12,31,28,38,182,95,32,390,31,35,ANCASH
2019,9,55,25,38,27,80,70,120,56,115,LIMA SUR
2020,11,29,27,100,28,252,32,143,29,79,PASCO
2020,7,22,24,27,153,47,23,95,25,30,CAJAMARCA
2021,10,7,8,13,22,13,40,7,10,8,TUMBES
2018,6,0,0,1,3,8,0,12,0,3,TACNA
2021,12,57,55,166,214,425,68,102,64,72,PIURA
2019,10,7,4,20,34,25,7,139,7,14,LIMA
2019,12,27,27,70,28,252,28,133,27,61,PASCO
2021,11,31,28,32,91,45,33,84,33,27,SAN MARTIN
2018,2,0,0,0,7,61,0,0,0,91,LIMA NORTE
2020,10,5,5,5,8,12,6,69,5,5,MADRE DE DIOS
2021,6,48,46,56,83,80,57,100,50,50,AYACUCHO
2018,5,0,0,0,8,32,0,2,0,4,LA LIBERTAD
2018,8,0,2,2,89,32,1,0,3,14,CAJAMARCA
2019,8,41,8,60,171,424,48,52,45,37,PIURA
2018,11,0,0,0,4,7,0,0,0,40,CALLAO
2019,8,10,6,4,127,43,16,10,18,25,CAJAMARCA
2021,3,10,2,10,11,16,10,46,10,44,CALLAO
2018,6,0,0,0,16,16,0,111,0,11,LIMA
2019,4,3,3,3,56,10,10,26,10,1,SAN MARTIN
2021,12,10,3,10,29,17,10,46,10,44,CALLAO
2018,9,0,0,0,19,16,0,112,0,11,LIMA
2021,7,7,8,13,19,13,40,7,10,8,TUMBES
2020,6,27,27,92,28,252,29,138,27,72,PASCO
2019,4,31,22,14,21,68,59,112,31,114,LIMA SUR
2018,3,0,0,0,11,25,0,17,0,21,JUNIN
2020,10,48,45,55,56,77,52,73,48,50,AYACUCHO
2018,3,0,0,0,9,53,0,1,0,23,ICA
2018,5,0,0,0,18,13,0,0,0,0,UCAYALI
2018,8,2,1,0,5,19,6,15,4,13,MOQUEGUA
2020,12,29,28,31,80,45,33,79,33,27,SAN MARTIN
2021,7,101,81,87,37,94,108,104,105,98,LIMA NORTE
2019,10,25,6,62,108,282,26,376,26,82,PUNO
2020,1,31,28,42,182,103,32,392,31,35,ANCASH
2018,11,1,4,2,99,33,4,1,5,16,CAJAMARCA
2020,11,7,8,11,18,13,40,7,10,8,TUMBES
2021,10,29,27,128,40,252,32,212,29,155,PASCO
2018,8,17,7,5,17,57,19,107,18,112,LIMA SUR
2019,1,0,0,2,56,155,0,231,0,39,PUNO
2018,1,0,0,0,42,351,0,0,0,3,PIURA
2020,7,12,12,28,47,30,16,147,13,21,LIMA
2019,2,0,0,0,4,7,0,1,0,41,CALLAO
2021,3,22,24,28,164,50,23,194,25,31,CAJAMARCA
2018,5,4,6,4,7,26,6,4,6,62,LIMA CENTRO
2018,6,0,0,0,34,107,0,221,0,17,PUNO
2018,4,2,2,2,22,7,2,2,2,5,LORETO
2021,1,41,41,71,102,269,54,359,41,126,APURIMAC
2020,5,24,23,26,166,30,24,55,24,26,CUSCO
2018,1,0,0,1,30,29,0,152,0,16,HUANUCO
2019,10,9,12,20,21,47,47,9,41,64,LIMA CENTRO
2020,10,24,27,28,52,28,29,36,27,30,AMAZONAS
2019,5,3,0,2,4,6,3,69,3,2,MADRE DE DIOS
2021,10,53,43,73,108,78,53,278,53,56,LA LIBERTAD
2018,3,0,0,0,9,100,0,217,0,15,AREQUIPA
2018,5,0,0,0,3,17,0,13,0,9,MOQUEGUA
2018,8,0,0,0,18,13,0,0,0,0,UCAYALI
2021,1,39,35,82,121,294,45,402,39,121,PUNO
2021,6,78,62,78,33,104,90,130,78,117,LIMA SUR
2018,4,0,0,1,18,118,0,0,0,1,PASCO
2019,5,0,1,5,8,8,7,0,7,5,TUMBES
2021,2,29,27,101,33,252,32,153,29,92,PASCO
2020,3,7,8,9,17,13,40,7,10,8,TUMBES
2019,12,18,19,21,143,44,18,60,20,28,CAJAMARCA
2018,1,5,3,1,13,51,5,106,6,107,LIMA SUR
2020,2,7,7,7,17,12,40,7,9,8,TUMBES
2021,3,29,27,102,33,252,32,166,29,100,PASCO
2019,9,10,6,17,7,31,14,21,12,20,MOQUEGUA
2019,4,0,0,2,29,20,2,0,1,2,UCAYALI
2019,9,10,6,4,131,43,16,13,18,27,CAJAMARCA
2019,1,1,1,1,21,17,1,116,1,11,LIMA
2021,7,56,55,158,207,425,68,86,62,72,PIURA
2020,4,10,2,10,8,15,10,46,10,44,CALLAO
2020,4,24,23,26,165,30,24,51,24,26,CUSCO
2020,11,24,27,28,52,28,29,36,27,30,AMAZONAS
2019,10,14,10,10,70,28,17,59,16,7,SAN MARTIN
2018,5,2,2,2,22,7,2,2,2,5,LORETO
2018,10,3,2,0,14,27,6,17,4,27,JUNIN
2018,10,0,0,1,14,66,0,1,0,41,ICA
2018,10,4,8,6,15,36,44,4,32,63,LIMA CENTRO
2020,3,48,45,54,40,74,52,70,48,50,AYACUCHO
2020,6,12,12,28,47,30,16,147,13,20,LIMA
2019,3,0,0,0,4,8,0,1,0,41,CALLAO
2021,11,78,62,80,36,105,91,132,78,117,LIMA SUR
2022,1,29,28,44,71,146,33,174,29,35,LAMBAYEQUE
2018,9,0,0,1,22,127,0,0,0,17,PASCO
2019,8,5,3,6,8,9,7,5,7,7,TUMBES
2021,10,29,28,43,71,143,33,170,29,32,LAMBAYEQUE
2020,12,39,35,80,121,294,45,402,39,121,PUNO
2019,8,25,2,38,60,41,38,38,38,1,HUANCAVELICA
2018,3,0,0,0,1,43,0,72,0,70,LIMA ESTE
2020,1,26,26,102,29,183,33,250,26,105,AREQUIPA
2020,7,13,14,28,9,49,14,25,15,22,MOQUEGUA
2020,10,14,13,13,39,22,18,25,16,14,UCAYALI
2020,5,47,48,50,26,54,55,50,49,64,LIMA CENTRO
2020,12,48,48,50,28,54,55,54,49,64,LIMA CENTRO
2018,1,0,0,0,30,6,0,22,0,0,SAN MARTIN
2018,4,0,0,0,8,3,0,0,0,0,TUMBES
2020,7,76,61,75,31,96,90,127,77,117,LIMA SUR
2019,5,17,18,17,24,250,18,108,18,39,PASCO
2022,1,13,14,39,10,57,14,31,15,22,MOQUEGUA
2020,11,48,45,56,62,78,53,81,48,50,AYACUCHO
2018,2,0,0,0,11,25,0,16,0,21,JUNIN
2018,2,0,0,0,9,52,0,1,0,22,ICA
2019,10,23,14,25,48,24,23,27,23,22,AMAZONAS
2019,5,2,4,6,113,27,7,19,4,13,CUSCO
2021,4,14,17,32,44,32,26,15,20,23,LORETO
2021,1,41,41,47,102,48,42,260,42,102,HUANUCO
2018,1,0,0,0,51,95,0,101,0,15,APURIMAC
2018,8,0,0,0,16,16,0,112,0,11,LIMA
2019,4,6,11,8,17,40,46,6,36,63,LIMA CENTRO
2021,11,25,23,27,199,36,26,89,25,26,CUSCO
2021,4,24,27,28,53,28,29,36,27,31,AMAZONAS
2019,10,2,3,12,30,21,16,3,10,12,LORETO
2022,1,78,62,80,37,105,91,132,78,117,LIMA SUR
2020,1,27,26,70,111,289,28,398,28,105,PUNO
2020,12,68,63,121,30,190,79,256,71,113,AREQUIPA
2020,9,37,27,38,67,47,39,118,38,27,HUANCAVELICA
2018,11,0,0,0,52,74,0,96,0,0,LAMBAYEQUE
2020,7,14,13,12,38,22,17,25,16,13,UCAYALI
2021,2,72,47,46,8,73,78,78,77,72,LIMA ESTE
2020,10,13,14,30,9,52,14,25,15,22,MOQUEGUA
2021,7,48,46,56,83,80,57,101,50,50,AYACUCHO
2018,12,0,0,0,8,6,0,0,0,1,TUMBES
2021,11,49,48,50,32,54,57,67,50,64,LIMA CENTRO
2020,11,29,28,30,78,45,32,79,32,27,SAN MARTIN
2018,7,0,0,1,3,8,0,12,0,3,TACNA
2022,1,41,42,50,112,49,43,278,43,103,HUANUCO
2020,8,22,24,27,153,47,23,95,25,30,CAJAMARCA
2021,11,16,13,21,47,22,21,55,19,16,UCAYALI
2021,6,13,14,36,10,54,14,27,15,22,MOQUEGUA
2020,4,47,52,48,31,59,57,145,56,279,JUNIN
2020,4,47,45,105,20,129,49,81,48,75,ICA
2020,10,14,17,31,42,32,26,15,20,21,LORETO
2018,4,0,0,0,26,11,0,0,0,11,AMAZONAS
2018,11,0,0,0,90,20,0,0,0,8,CUSCO
2018,12,0,1,1,22,41,8,0,5,2,AYACUCHO
2020,5,47,45,106,20,130,49,81,48,75,ICA
2020,5,47,52,48,31,59,57,151,56,284,JUNIN
2021,10,49,46,57,113,81,57,114,50,50,AYACUCHO
2021,1,48,48,50,28,54,55,55,49,64,LIMA CENTRO
2019,3,4,2,0,14,32,6,26,4,42,JUNIN
2019,3,4,0,60,17,109,33,5,27,59,ICA
2021,10,15,13,21,47,22,21,48,19,16,UCAYALI
2021,1,68,63,124,31,190,79,256,71,116,AREQUIPA
2021,7,13,14,37,10,54,14,27,15,22,MOQUEGUA
2020,4,5,5,5,8,12,5,69,5,5,MADRE DE DIOS
2018,11,0,0,0,19,36,0,2,0,8,LA LIBERTAD
2018,3,0,0,0,29,99,0,202,0,7,PUNO
2018,12,24,6,3,10,84,79,37,59,95,LIMA NORTE
2020,11,47,48,50,28,54,55,51,49,64,LIMA CENTRO
2018,6,0,0,0,10,108,0,226,0,17,AREQUIPA
2021,4,48,48,50,29,54,55,62,49,64,LIMA CENTRO
2018,2,0,0,0,73,26,0,0,0,14,CAJAMARCA
2021,1,10,10,12,7,16,15,29,11,12,TACNA
2019,1,5,1,0,16,142,7,229,5,33,AREQUIPA
